2026-04-27 10:57:14 | INFO     | app.main | VIP车位告警系统启动中...
2026-04-27 10:57:15 | DEBUG    | tzlocal | Looking up time zone info from registry
2026-04-27 10:57:15 | INFO     | app.scheduler.setup | APScheduler调度器已启动
2026-04-27 10:57:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 10:57:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 10:58:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 10:58:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 10:58:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 10:58:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 10:59:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 10:59:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 10:59:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 10:59:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:00:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:00:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:00:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:00:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:01:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:01:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:01:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:01:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:02:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:02:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:02:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:02:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:03:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:03:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:03:20 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=1, total=0
2026-04-27 11:03:20 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=1, total=0
2026-04-27 11:03:20 | INFO     | app.api.alerts | 查询告警日志: page=1, page_size=10, total=0
2026-04-27 11:03:25 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=0
2026-04-27 11:03:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:03:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:03:50 | INFO     | app.api.alerts | 查询告警日志: page=1, page_size=20, total=0
2026-04-27 11:03:55 | INFO     | app.api.contacts | 查询通讯录列表: page=1, page_size=10, total=0
2026-04-27 11:04:03 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=0
2026-04-27 11:04:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:04:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:04:17 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=0
2026-04-27 11:04:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:04:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:05:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:05:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:05:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:05:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:06:15 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:06:15 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:06:45 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:06:45 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:06:45 | INFO     | app.scheduler.setup | APScheduler调度器已关闭
2026-04-27 11:06:45 | INFO     | app.main | VIP车位告警系统已关闭
2026-04-27 11:07:14 | INFO     | app.main | VIP车位告警系统启动中...
2026-04-27 11:07:14 | DEBUG    | tzlocal | Looking up time zone info from registry
2026-04-27 11:07:14 | INFO     | app.scheduler.setup | APScheduler调度器已启动
2026-04-27 11:07:32 | INFO     | app.scheduler.setup | APScheduler调度器已关闭
2026-04-27 11:07:32 | INFO     | app.main | VIP车位告警系统已关闭
2026-04-27 11:10:06 | INFO     | app.main | VIP车位告警系统启动中...
2026-04-27 11:10:07 | DEBUG    | tzlocal | Looking up time zone info from registry
2026-04-27 11:10:07 | INFO     | app.scheduler.setup | APScheduler调度器已启动
2026-04-27 11:10:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:10:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:11:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:11:07 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:11:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:11:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:12:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:12:07 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:12:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:12:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:13:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:13:07 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:13:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:13:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:14:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:14:07 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:14:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:14:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:15:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:15:07 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:15:13 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=0
2026-04-27 11:15:17 | INFO     | app.api.contacts | 查询通讯录列表: page=1, page_size=10, total=0
2026-04-27 11:15:18 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=0
2026-04-27 11:15:19 | INFO     | app.api.alerts | 查询告警日志: page=1, page_size=20, total=0
2026-04-27 11:15:20 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=0
2026-04-27 11:15:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:15:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:16:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:16:07 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:16:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:16:37 | INFO     | app.services.patrol_service | 无启用的监控车位，跳过巡检
2026-04-27 11:17:01 | INFO     | app.api.spots | 新增VIP车位: id=1, spot_number=0677
2026-04-27 11:17:01 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=1
2026-04-27 11:17:03 | INFO     | app.api.contacts | 查询通讯录列表: page=1, page_size=10, total=0
2026-04-27 11:17:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:17:07 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:17:07 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:17:07 | INFO     | app.api.spots | 查询VIP车位列表: page=1, page_size=10, total=1
2026-04-27 11:17:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:17:37 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:17:37 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:18:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:18:07 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:18:07 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:18:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:18:37 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:18:37 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:19:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:19:07 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:19:07 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:19:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:19:37 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:19:37 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:20:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:20:07 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:20:07 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:20:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:20:37 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:20:37 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:21:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:21:07 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:21:07 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:21:37 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:21:37 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:21:37 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:22:07 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:22:07 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:22:07 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:22:07 | INFO     | app.scheduler.setup | APScheduler调度器已关闭
2026-04-27 11:22:07 | INFO     | app.main | VIP车位告警系统已关闭
2026-04-27 11:29:01 | INFO     | app.main | VIP车位告警系统启动中...
2026-04-27 11:29:01 | DEBUG    | tzlocal | Looking up time zone info from registry
2026-04-27 11:29:01 | INFO     | app.scheduler.setup | APScheduler调度器已启动
2026-04-27 11:29:31 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:29:31 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:29:31 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:30:01 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:30:01 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:30:01 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:30:31 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:30:31 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:30:31 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:31:01 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:31:01 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:31:01 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:31:31 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:31:31 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:31:31 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:32:01 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:32:01 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:32:01 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:32:31 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:32:31 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:32:31 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:33:01 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:33:01 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:33:01 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:33:31 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:33:31 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:33:31 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:34:01 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:34:01 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:34:01 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:34:31 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:34:31 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
2026-04-27 11:34:31 | INFO     | app.services.patrol_service | === VIP车位巡检结束 ===
2026-04-27 11:35:01 | INFO     | app.services.patrol_service | === 开始VIP车位巡检 ===
2026-04-27 11:35:01 | ERROR    | app.services.external_db_service | 未找到启用的外部数据库配置
